crew,condition,rule,metric,contrast,n_replicates,mean,sd,minimum,maximum,replicate_values,variant
3,framer,,creator_ejection_rate,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",baseline
3,framer,,creator_survival,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",baseline
3,framer,,false_ejection_rate,sharp_credibility minus mean,10,-0.02300000000000001,0.004921607686744484,-0.03200000000000003,-0.016000000000000014,"[-0.03200000000000003,-0.02200000000000002,-0.026000000000000023,-0.018000000000000016,-0.028000000000000025,-0.02200000000000002,-0.017999999999999905,-0.02400000000000002,-0.016000000000000014,-0.02400000000000002]",baseline
3,framer,,incident_rate,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",baseline
3,framer,,no_ejection_rate,sharp_credibility minus mean,10,0.022999999999999993,0.004921607686744465,0.016000000000000014,0.03199999999999997,"[0.03199999999999997,0.021999999999999964,0.026000000000000023,0.01799999999999996,0.028000000000000025,0.02200000000000002,0.018000000000000016,0.023999999999999966,0.016000000000000014,0.023999999999999966]",baseline
3,framer,sharp_credibility,coalition_favorable_rate,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,framer,,coalition_favorable_rate,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",catch_outside
3,framer,sharp_credibility,creator_ejection_rate,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,framer,,creator_ejection_rate,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",catch_outside
3,framer,sharp_credibility,creator_survival,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,framer,,creator_survival,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",catch_outside
3,framer,sharp_credibility,false_ejection_rate,catch_outside minus baseline,10,-0.0014000000000000013,0.001349897115421107,-0.0040000000000000036,0.0,"[-0.0020000000000000018,0.0,0.0,0.0,-0.0020000000000000018,-0.0040000000000000036,-0.0020000000000000018,-0.0020000000000000018,-0.0020000000000000018,0.0]",
